Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2018-11-01,00:23,Thursday,KING STATION,MUPAA,6,11,N,YU,5715
2018-11-01,01:11,Thursday,COLLEGE STATION,MUIS,0,0,N,YU,0
2018-11-01,04:58,Thursday,YORK MILLS STATION,PUTWZ,10,0,N,YU,5711
2018-11-01,05:50,Thursday,FINCH STATION,EUBK,3,7,S,YU,6076
2018-11-01,07:16,Thursday,ST GEORGE BD STATION,MUIRS,0,0,E,BD,0
2018-11-01,08:24,Thursday,WELLESLEY STATION,MUPAA,0,0,S,YU,5851
2018-11-01,08:35,Thursday,FINCH STATION,MUTD,0,0,S,YU,5726
2018-11-01,08:45,Thursday,MUSEUM STATION,MUIS,0,0,N,YU,0
2018-11-01,08:55,Thursday,YORK UNIVERSITY STATIO,PUMEL,0,0,,YU,0
2018-11-01,09:25,Thursday,QUEEN'S PARK STATION,MUIE,0,0,,YU,0
2018-11-01,10:24,Thursday,QUEEN'S PARK STATION,MUIS,0,0,N,YU,0
2018-11-01,10:36,Thursday,BATHURST STATION,MUPAA,0,0,E,BD,5216
2018-11-01,10:39,Thursday,GLENCAIRN STATION,MUSC,0,0,S,YU,5711
2018-11-01,11:10,Thursday,YORKDALE STATION,MUIR,3,6,N,YU,5861
2018-11-01,11:40,Thursday,BLOOR DANFORTH SUBWAY,MUGD,0,0,,BD,0
2018-11-01,11:45,Thursday,SPADINA YUS STATION,MUIS,0,0,,YU,0
2018-11-01,12:09,Thursday,SPADINA BD STATION,SUAE,0,0,E,BD,0
2018-11-01,12:51,Thursday,FINCH STATION,MUI,3,6,S,YU,5761
2018-11-01,13:55,Thursday,WARDEN STATION,MUSC,0,0,E,BD,5204
2018-11-01,14:05,Thursday,PAPE STATION,SUDP,0,0,,BD,0
2018-11-01,14:43,Thursday,BLOOR STATION,MUIS,0,0,S,YU,0
2018-11-01,16:37,Thursday,KIPLING STATION,MUSC,0,0,E,BD,5286
2018-11-01,17:06,Thursday,YONGE SHP STATION,TUMVS,0,0,W,SHP,6146
2018-11-01,17:39,Thursday,KENNEDY BD STATION,MUSAN,3,5,E,BD,5072
2018-11-01,17:59,Thursday,VICTORIA PARK STATION,MUSC,0,0,E,BD,5210
2018-11-01,18:09,Thursday,BLOOR STATION,MUPAA,0,0,N,YU,5601
2018-11-01,18:31,Thursday,YORK MILLS STATION,SUDP,6,8,S,YU,5591
2018-11-01,19:02,Thursday,YORKDALE STATION,MUSC,0,0,N,YU,5996
2018-11-01,19:13,Thursday,MAIN STREET STATION,MUIS,0,0,,BD,0
2018-11-01,19:20,Thursday,CHRISTIE STATION,MUI,17,19,W,BD,5223
2018-11-01,19:24,Thursday,JANE STATION,MUIS,0,0,,BD,0
2018-11-01,19:33,Thursday,ST GEORGE BD STATION,MUO,3,5,W,BD,5216
2018-11-01,19:38,Thursday,WILSON STATION,EUOE,0,0,S,YU,5292
2018-11-01,19:40,Thursday,SHEPPARD WEST STATION,MUO,5,8,S,YU,5521
2018-11-01,21:08,Thursday,ST CLAIR WEST STATION,MUPAA,0,0,S,YU,5926
2018-11-01,21:18,Thursday,HIGH PARK STATION,MUSC,0,0,W,BD,5212
2018-11-01,22:00,Thursday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2018-11-01,23:00,Thursday,SHEPPARD WEST TO ST. C,MUO,0,0,,YU,0
2018-11-01,23:55,Thursday,BLOOR DANFORTH SUBWAY,MUGD,0,0,,BD,0
2018-11-02,00:16,Friday,SHERBOURNE STATION,MUIS,0,0,E,BD,0
2018-11-02,01:23,Friday,VICTORIA PARK STATION,MUI,0,0,E,BD,5128
2018-11-02,01:35,Friday,ST CLAIR WEST STATION,MUIR,11,16,N,BD,5771
2018-11-02,01:35,Friday,ST CLAIR WEST STATION,MUI,11,16,N,YU,5771
2018-11-02,02:07,Friday,KENNEDY BD STATION,SUDP,0,0,,BD,0
2018-11-02,02:08,Friday,KIPLING STATION,MUI,0,0,,BD,0
2018-11-02,02:14,Friday,EGLINTON STATION,SUUT,0,0,N,YU,0
2018-11-02,06:07,Friday,SHEPPARD WEST STATION,TUCC,4,8,N,YU,5386
2018-11-02,06:31,Friday,SHEPPARD WEST STATION,EUDO,7,11,S,YU,5961
2018-11-02,06:35,Friday,WILSON STATION,PUSI,0,0,N,YU,5771
2018-11-02,08:06,Friday,WARDEN STATION,SUDP,5,7,E,BD,5150
2018-11-02,08:36,Friday,VAUGHAN MC STATION,TUATC,3,7,S,YU,5411
2018-11-02,09:00,Friday,DON MILLS STATION,SUDP,5,10,E,SHP,6156
2018-11-02,09:36,Friday,ISLINGTON STATION,MUSC,0,0,W,BD,5082
2018-11-02,09:57,Friday,KENNEDY BD STATION,PUMEL,0,0,,BD,0
2018-11-02,10:18,Friday,SCARB CTR STATION,MRDD,0,0,N,SRT,3025
