Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2018-12-01,00:11,Saturday,YONGE BD STATION,SUDP,0,0,,BD,0
2018-12-01,01:13,Saturday,DUNDAS WEST STATION,SUAP,0,0,W,BD,5339
2018-12-01,01:35,Saturday,SHEPPARD STATION,EUSC,0,0,N,YU,5651
2018-12-01,01:46,Saturday,DUNDAS WEST STATION,SUO,4,8,W,BD,5339
2018-12-01,01:51,Saturday,WOODBINE STATION,SUDP,0,0,,BD,0
2018-12-01,06:00,Saturday,ST GEORGE TO FINCH WES,MUO,0,0,,YU,0
2018-12-01,06:08,Saturday,WOODBINE STATION,TUKEY,8,12,E,BD,5080
2018-12-01,06:33,Saturday,QUEEN'S PARK STATION,TUSC,0,0,S,YU,6016
2018-12-01,07:43,Saturday,VICTORIA PARK STATION,MUDD,6,10,W,BD,5200
2018-12-01,08:39,Saturday,MCCOWAN STATION,ERCO,4,10,S,SRT,3026
2018-12-01,08:59,Saturday,KENNEDY SRT STATION,ERCO,5,11,N,SRT,3026
2018-12-01,09:09,Saturday,MCCOWAN STATION,ERCO,6,12,S,SRT,3026
2018-12-01,11:17,Saturday,GREENWOOD STATION,EUSC,0,0,E,BD,5121
2018-12-01,11:20,Saturday,BLOOR DANFORTH SUBWAY,MUGD,0,0,,BD,0
2018-12-01,12:07,Saturday,COXWELL STATION,MUIR,0,0,E,BD,5345
2018-12-01,12:39,Saturday,YONGE BD STATION,SUAE,0,0,E,BD,5356
2018-12-01,12:59,Saturday,FINCH STATION,TUSUP,0,0,N,YU,5066
2018-12-01,13:15,Saturday,KENNEDY BD STATION,MUSC,0,0,W,BD,5253
2018-12-01,14:07,Saturday,DUNDAS STATION,SUO,5,9,N,YU,6056
2018-12-01,14:23,Saturday,DUNDAS WEST STATION,SUO,0,0,W,BD,5160
2018-12-01,14:43,Saturday,LESLIE STATION,TUSC,0,0,W,SHP,6166
2018-12-01,14:43,Saturday,NORTH YORK CTR STATION,MUIS,0,0,N,YU,6003
2018-12-01,14:47,Saturday,KENNEDY BD STATION,MUSAN,4,8,W,BD,5306
2018-12-01,16:59,Saturday,DAVISVILLE STATION,TUOS,0,0,S,YU,5786
2018-12-01,17:16,Saturday,LAWRENCE STATION,MUPAA,0,0,S,YU,5406
2018-12-01,18:09,Saturday,VICTORIA PARK STATION,MUSC,0,0,E,BD,5336
2018-12-01,18:12,Saturday,DAVISVILLE STATION,MUSC,0,0,S,YU,5606
2018-12-01,18:12,Saturday,HIGH PARK STATION,MUSC,0,0,W,BD,5160
2018-12-01,18:26,Saturday,MAIN STREET STATION,MUSC,0,0,W,BD,5278
2018-12-01,18:42,Saturday,CHRISTIE STATION,MUIS,0,0,,BD,0
2018-12-01,19:10,Saturday,KIPLING STATION,MUSC,0,0,W,BD,5306
2018-12-01,19:23,Saturday,MAIN STREET STATION,MUIS,0,0,,BD,0
2018-12-01,19:58,Saturday,BLOOR STATION,MUIS,0,0,N,YU,0
2018-12-01,20:20,Saturday,KENNEDY BD STATION,MUIR,0,0,W,BD,5242
2018-12-01,22:00,Saturday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2018-12-01,22:06,Saturday,ST GEORGE BD STATION,MUSC,0,0,W,BD,5169
2018-12-01,22:34,Saturday,JANE STATION,TUSC,0,0,W,BD,5336
2018-12-01,23:33,Saturday,FINCH WEST STATION,MUIRS,0,0,,YU,0
2018-12-01,23:44,Saturday,KENNEDY BD STATION,MUSC,0,0,E,BD,5038
2018-12-01,23:47,Saturday,VICTORIA PARK STATION,MUSC,0,0,W,BD,5278
2018-12-01,23:57,Saturday,MUSEUM STATION,MUDD,7,11,S,YU,5401
2018-12-02,01:50,Sunday,DAVISVILLE STATION,PUTDN,0,0,S,YU,6066
2018-12-02,02:22,Sunday,GREENWOOD YARD,PUSNT,0,0,W,BD,5065
2018-12-02,07:59,Sunday,DAVISVILLE STATION,EUSC,0,0,S,YU,5966
2018-12-02,08:11,Sunday,LAWRENCE STATION,SUDP,0,0,,YU,0
2018-12-02,08:11,Sunday,VAUGHAN MC STATION,MUNOA,6,11,S,YU,0
2018-12-02,08:13,Sunday,GREENWOOD YARD,EUSC,0,0,E,BD,5313
2018-12-02,09:29,Sunday,OSSINGTON STATION,TUSC,0,0,W,BD,5265
2018-12-02,10:03,Sunday,MIDLAND STATION,ERDO,5,11,N,SRT,3023
2018-12-02,11:16,Sunday,EGLINTON STATION,MUI,15,19,N,YU,5391
2018-12-02,11:20,Sunday,LAWRENCE WEST STATION,SUDP,7,11,N,YU,5576
