Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2019-03-01,00:04,Friday,WILSON STATION,SUDP,0,0,,YU,0
2019-03-01,00:19,Friday,DUPONT STATION,MUSC,0,0,S,YU,5826
2019-03-01,00:22,Friday,ISLINGTON STATION,SUO,4,9,W,BD,5241
2019-03-01,00:43,Friday,SHERBOURNE STATION,MUSC,0,0,E,BD,5291
2019-03-01,00:59,Friday,KENNEDY BD STATION,MUIS,0,0,,BD,0
2019-03-01,01:39,Friday,FINCH STATION,TUSC,0,0,N,YU,5851
2019-03-01,01:56,Friday,YORK MILLS STATION,TUSC,0,0,S,YU,5971
2019-03-01,06:10,Friday,OSSINGTON STATION,TUSC,0,0,W,BD,5142
2019-03-01,06:25,Friday,CASTLE FRANK STATION,MUDD,3,7,W,BD,5091
2019-03-01,06:26,Friday,DAVISVILLE STATION,PUSTS,0,0,N,YU,6051
2019-03-01,06:35,Friday,WILSON YARD,PUSSW,0,0,,YU,0
2019-03-01,07:10,Friday,WILSON STATION,PUSSW,7,9,S,YU,5606
2019-03-01,08:04,Friday,UNION STATION,MUIS,0,0,,YU,0
2019-03-01,08:18,Friday,MCCOWAN CARHOUSE,MRO,0,0,,SRT,0
2019-03-01,08:29,Friday,ST ANDREW STATION,PUMST,0,0,,YU,0
2019-03-01,08:34,Friday,FINCH STATION,MUI,0,0,N,YU,5941
2019-03-01,08:36,Friday,EGLINTON STATION,MUPAA,0,0,N,YU,5791
2019-03-01,08:58,Friday,KENNEDY BD STATION,TUKEY,0,0,E,BD,5026
2019-03-01,11:00,Friday,COLLEGE STATION,MUPAA,0,0,N,YU,5701
2019-03-01,11:25,Friday,FINCH STATION,MUIR,3,6,N,YU,5731
2019-03-01,12:16,Friday,WARDEN STATION,MUIS,0,0,,BD,0
2019-03-01,12:27,Friday,ROYAL YORK STATION,TUSC,0,0,E,BD,5371
2019-03-01,12:29,Friday,MCCOWAN STATION,MRSAN,6,12,S,SRT,3018
2019-03-01,12:34,Friday,JANE STATION,MUSC,0,0,E,BD,5193
2019-03-01,13:32,Friday,ISLINGTON STATION,SUUT,13,16,E,BD,5026
2019-03-01,13:39,Friday,VAUGHAN MC STATION,MUI,3,6,N,YU,5871
2019-03-01,14:08,Friday,KEELE STATION,MUSC,0,0,E,BD,5287
2019-03-01,14:16,Friday,COXWELL STATION,TUSC,0,0,E,BD,5183
2019-03-01,14:31,Friday,KIPLING STATION,PUMEL,0,0,,BD,0
2019-03-01,14:36,Friday,SHEPPARD WEST STATION,MUTO,3,6,N,YU,5681
2019-03-01,14:44,Friday,FINCH STATION,MUIS,0,0,,YU,0
2019-03-01,15:09,Friday,DUNDAS STATION,MUIRS,0,0,,YU,0
2019-03-01,15:17,Friday,KIPLING STATION,MUSC,0,0,E,BD,5031
2019-03-01,15:32,Friday,LAWRENCE EAST STATION,SRAP,21,26,S,SRT,3020
2019-03-01,15:34,Friday,SPADINA BD STATION,PUMEL,0,0,,BD,0
2019-03-01,16:03,Friday,CASTLE FRANK STATION,EUNT,6,8,E,BD,5220
2019-03-01,16:20,Friday,ROYAL YORK STATION,EUBK,0,0,W,BD,5235
2019-03-01,16:24,Friday,SHERBOURNE STATION,PUMEL,0,0,,BD,0
2019-03-01,17:06,Friday,BATHURST STATION,SUO,6,8,W,BD,5012
2019-03-01,17:59,Friday,WELLESLEY STATION,MUPAA,0,0,N,YU,5536
2019-03-01,18:24,Friday,GLENCAIRN STATION,MUPAA,0,0,N,YU,6081
2019-03-01,18:45,Friday,ST GEORGE YUS STATION,MUIR,3,5,N,YU,5906
2019-03-01,18:48,Friday,FINCH STATION,MUSAN,3,5,S,YU,5671
2019-03-01,18:58,Friday,UNION STATION,SUUT,29,31,N,YU,6066
2019-03-01,19:13,Friday,KENNEDY BD STATION,SUDP,3,6,W,BD,5317
2019-03-01,19:34,Friday,UNION STATION,MUIRS,0,0,,YU,0
2019-03-01,20:04,Friday,YONGE BD STATION,MUIR,4,7,W,BD,5053
2019-03-01,20:48,Friday,DUNDAS WEST STATION,PUMEL,0,0,,BD,0
2019-03-01,20:54,Friday,LAWRENCE STATION,SUAP,7,10,N,YU,5951
2019-03-01,21:06,Friday,DUNDAS WEST STATION,MUIS,0,0,E,BD,0
2019-03-01,21:39,Friday,SCARB CTR STATION,SRO,0,0,S,SRT,3016
2019-03-01,22:00,Friday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2019-03-01,22:24,Friday,BLOOR STATION,SUDP,3,6,S,YU,5841
2019-03-01,22:31,Friday,SUMMERHILL STATION,TUDOE,14,17,S,YU,5711
2019-03-01,22:47,Friday,VICTORIA PARK STATION,MUIR,4,7,E,BD,5222
2019-03-01,22:48,Friday,ROSEDALE STATION,TUO,5,10,S,YU,5711
2019-03-01,23:00,Friday,YONGE UNIVERSITY LINE,MUGD,0,0,,YU,0
2019-03-01,23:05,Friday,BROADVIEW STATION,MUIS,0,0,,BD,0
