Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2019-06-01,01:46,Saturday,ST PATRICK STATION,MUIS,0,0,,YU,0
2019-06-01,02:35,Saturday,ISLINGTON STATION,TUCC,0,0,E,BD,5118
2019-06-01,05:11,Saturday,JANE STATION,TUSC,0,0,E,BD,5260
2019-06-01,05:26,Saturday,WILSON HOSTLER,TUSUP,0,0,S,YU,5636
2019-06-01,05:29,Saturday,WILSON HOSTLER,TUSUP,0,0,N,YU,5636
2019-06-01,05:52,Saturday,SHEPPARD WEST STATION,TUSUP,3,0,N,YU,6086
2019-06-01,05:53,Saturday,EGLINTON STATION,TUO,5,0,N,YU,5501
2019-06-01,06:09,Saturday,KIPLING STATION,MUSC,0,0,E,BD,5268
2019-06-01,06:10,Saturday,WILSON STATION,EUYRD,3,8,S,YU,5861
2019-06-01,06:16,Saturday,KIPLING STATION,MUSC,0,0,E,BD,5129
2019-06-01,07:23,Saturday,VAUGHAN MC STATION,MUTO,3,8,S,YU,6036
2019-06-01,07:30,Saturday,FINCH STATION,EUSC,0,0,S,YU,5436
2019-06-01,07:55,Saturday,VAUGHAN MC STATION,MUTO,4,9,S,YU,5696
2019-06-01,08:25,Saturday,VAUGHAN MC STATION,TUS,6,11,S,YU,5816
2019-06-01,09:12,Saturday,BLOOR STATION,MUIE,0,0,,YU,0
2019-06-01,09:25,Saturday,FINCH WEST STATION,MUPAA,0,0,N,YU,6071
2019-06-01,09:27,Saturday,VAUGHAN MC STATION,MUTO,8,13,S,YU,5426
2019-06-01,10:34,Saturday,EGLINTON STATION,MUTO,3,8,S,YU,5421
2019-06-01,11:03,Saturday,YORK UNIVERSITY STATIO,MUATC,3,7,S,YU,5636
2019-06-01,11:13,Saturday,ST GEORGE BD STATION,EUBK,14,18,W,BD,5131
2019-06-01,12:00,Saturday,OSGOODE STATION,SUAP,0,0,,YU,0
2019-06-01,13:20,Saturday,SHEPPARD WEST STATION,SUO,0,0,,YU,0
2019-06-01,13:28,Saturday,SHERBOURNE STATION,MUDD,6,10,W,BD,5110
2019-06-01,13:36,Saturday,KIPLING STATION,MUSC,0,0,W,BD,5053
2019-06-01,14:03,Saturday,FINCH STATION,EUTRD,3,6,S,YU,5781
2019-06-01,14:16,Saturday,DUNDAS WEST STATION,MUIS,0,0,,BD,0
2019-06-01,14:22,Saturday,BLOOR STATION,MUIS,0,0,,YU,0
2019-06-01,14:55,Saturday,KENNEDY BD STATION,EUSC,0,0,W,BD,5110
2019-06-01,15:36,Saturday,DUNDAS STATION,MUIRS,0,0,S,YU,0
2019-06-01,16:25,Saturday,SHERBOURNE STATION,SUO,0,0,W,BD,5030
2019-06-01,16:48,Saturday,YORKDALE STATION,SUUT,0,0,N,YU,5701
2019-06-01,17:01,Saturday,FINCH WEST STATION,MUPAA,0,0,S,YU,6001
2019-06-01,18:15,Saturday,WILSON STATION,SUDP,4,8,S,YU,5566
2019-06-01,18:33,Saturday,KIPLING STATION,MUSC,0,0,W,BD,5062
2019-06-01,18:37,Saturday,KIPLING STATION,MUSC,0,0,E,BD,5088
2019-06-01,18:37,Saturday,RUNNYMEDE STATION,MUNCA,0,0,,BD,0
2019-06-01,19:11,Saturday,COLLEGE STATION,MUD,5,8,S,YU,5976
2019-06-01,19:42,Saturday,QUEEN STATION,MUPAA,0,0,S,YU,5651
2019-06-01,19:54,Saturday,MUSEUM STATION,MUPAA,0,0,S,YU,5671
2019-06-01,20:27,Saturday,SHEPPARD STATION,SUDP,3,8,N,YU,5996
2019-06-01,20:34,Saturday,DAVISVILLE STATION,SUDP,3,8,S,YU,5671
2019-06-01,20:40,Saturday,YONGE SHP STATION,SUDP,3,8,E,SHP,6151
2019-06-01,21:13,Saturday,KIPLING STATION,SUUT,10,13,W,BD,5333
2019-06-01,22:00,Saturday,YUS/BD/SEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2019-06-01,22:10,Saturday,COLLEGE STATION,EUDO,0,0,N,YU,5986
