Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2019-09-01,00:30,Sunday,FINCH STATION,MUIE,0,0,,,0
2019-09-01,08:12,Sunday,DAVISVILLE STATION,MUO,3,8,N,YU,5896
2019-09-01,08:23,Sunday,DAVISVILLE STATION,MUO,4,9,N,YU,5846
2019-09-01,08:57,Sunday,ST GEORGE BD STATION,MUO,0,0,,BD,0
2019-09-01,10:09,Sunday,SHEPPARD-YONGE STATION,MUTO,0,0,E,SHP,6166
2019-09-01,10:21,Sunday,GLENCAIRN STATION,TUO,4,9,S,YU,5846
2019-09-01,10:26,Sunday,GREENWOOD STATION,SUUT,0,0,E,BD,5326
2019-09-01,10:37,Sunday,COXWELL STATION,MUCL,5,9,W,BD,5018
2019-09-01,10:43,Sunday,YONGE BD STATION,MUIS,0,0,W,BD,0
2019-09-01,11:14,Sunday,CASTLE FRANK STATION,MUDD,5,9,W,BD,5263
2019-09-01,11:22,Sunday,YONGE BD STATION,SUO,0,0,W,BD,0
2019-09-01,12:42,Sunday,VAUGHAN MC STATION,TUNIP,0,0,S,YU,5766
2019-09-01,12:50,Sunday,VAUGHAN MC STATION,TUNIP,0,0,S,YU,5846
2019-09-01,13:19,Sunday,KIPLING STATION,TUMVS,0,0,W,BD,5282
2019-09-01,13:26,Sunday,BAYVIEW STATION,EUOPO,5,10,E,SHP,6156
2019-09-01,13:28,Sunday,ROYAL YORK STATION,TUO,4,8,E,BD,5189
2019-09-01,13:36,Sunday,PIONEER VILLAGE STATIO,MUIS,0,0,,YU,0
2019-09-01,14:10,Sunday,KIPLING STATION,MUSC,0,0,W,BD,5348
2019-09-01,14:27,Sunday,JANE STATION,TUSC,0,0,W,BD,5108
2019-09-01,14:28,Sunday,NORTH YORK CTR STATION,MUPAA,3,7,N,YU,6131
2019-09-01,17:37,Sunday,PIONEER VILLAGE STATIO,PUMEL,0,0,,YU,0
2019-09-01,17:45,Sunday,VAUGHAN MC STATION,PUMEL,0,0,,YU,0
2019-09-01,17:55,Sunday,KENNEDY SRT STATION,MRPAA,0,0,S,SRT,3022
2019-09-01,18:24,Sunday,LAWRENCE WEST STATION,SUDP,0,0,N,YU,5671
2019-09-01,19:07,Sunday,FINCH WEST STATION,MUIS,3,6,S,YU,5721
2019-09-01,19:33,Sunday,YORK MILLS STATION,MUIR,4,9,S,YU,5576
2019-09-01,19:34,Sunday,DUNDAS STATION,MUI,11,16,S,YU,5662
2019-09-01,20:21,Sunday,SHEPPARD STATION,SUO,0,0,N,YU,5776
2019-09-01,21:07,Sunday,GREENWOOD STATION,EUNT,4,8,W,BD,5088
2019-09-01,21:55,Sunday,SHEPPARD-YONGE STATION,TUSC,0,0,E,SHP,6186
2019-09-01,22:00,Sunday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0
2019-09-01,22:19,Sunday,WILSON STATION,MUPAA,0,0,N,YU,5796
2019-09-01,23:17,Sunday,WARDEN STATION,MUIRS,0,0,,BD,0
2019-09-02,00:55,Monday,PIONEER VILLAGE STATIO,MUIS,0,0,,YU,0
2019-09-02,05:44,Monday,FINCH STATION,TUSC,3,0,S,YU,5741
2019-09-02,05:47,Monday,COXWELL STATION,MUSC,0,0,E,BD,5336
2019-09-02,05:48,Monday,FINCH STATION,TUSC,0,0,N,YU,5841
2019-09-02,06:57,Monday,YORK MILLS STATION,TUSC,0,0,S,YU,5836
2019-09-02,07:30,Monday,ST PATRICK STATION,TUS,3,8,N,YU,6001
2019-09-02,07:38,Monday,DUNDAS WEST STATION,MUPAA,3,7,E,BD,5222
2019-09-02,07:57,Monday,JANE STATION,TUSC,0,0,W,BD,5057
2019-09-02,08:52,Monday,FINCH STATION,MUPAA,0,0,S,YU,5771
2019-09-02,08:55,Monday,VAUGHAN MC STATION,MUTO,0,0,S,YU,0
2019-09-02,09:32,Monday,FINCH STATION,SUO,3,8,N,YU,5781
2019-09-02,10:10,Monday,ROSEDALE STATION,PUSTS,0,0,S,YU,6016
2019-09-02,10:30,Monday,WELLESLEY STATION,MUIS,0,0,S,YU,0
2019-09-02,10:33,Monday,ISLINGTON STATION,TUSC,0,0,W,BD,5014
2019-09-02,10:53,Monday,SHERBOURNE STATION,SUAE,0,0,,YU,0
2019-09-02,12:11,Monday,YORKDALE STATION,MUPAA,0,0,S,YU,5391
2019-09-02,12:26,Monday,KENNEDY BD STATION,PUMST,0,0,,BD,0
2019-09-02,12:50,Monday,ST GEORGE BD STATION,EUDO,0,0,E,BD,5339
2019-09-02,13:11,Monday,SUMMERHILL STATION,MUPAA,0,0,N,YU,6081
2019-09-02,18:12,Monday,ST GEORGE BD STATION,MUNCA,0,0,,BD,0
2019-09-02,19:02,Monday,WELLESLEY STATION,MUPAA,0,0,N,YU,5596
2019-09-02,19:21,Monday,SHEPPARD STATION,MUPAA,0,0,N,YU,5596
2019-09-02,19:30,Monday,BATHURST STATION,MUPAA,3,7,W,BD,5017
2019-09-02,21:16,Monday,VAUGHAN MC STATION,MUIR,4,9,S,YU,5901
2019-09-02,21:17,Monday,OSSINGTON STATION,TUSC,0,0,W,BD,5017
2019-09-02,21:48,Monday,COLLEGE STATION,SUDP,3,8,S,YU,5771
2019-09-02,22:00,Monday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0
2019-09-02,23:47,Monday,COLLEGE STATION,MUPAA,0,0,S,YU,5866
2019-09-03,01:48,Tuesday,EGLINTON STATION,MUIS,0,0,,YU,0
2019-09-03,01:58,Tuesday,ISLINGTON STATION,MUSC,0,0,W,BD,5292
2019-09-03,05:51,Tuesday,SHEPPARD WEST STATION,MUATC,5,0,N,YU,5661
2019-09-03,06:17,Tuesday,DONLANDS STATION,PUSTS,0,0,E,BD,5264
2019-09-03,06:40,Tuesday,GREENWOOD STATION,PUSTS,0,0,E,BD,5339
2019-09-03,07:00,Tuesday,SHERBOURNE STATION,MUIS,0,0,W,BD,0
2019-09-03,07:15,Tuesday,ROSEDALE STATION,MUD,3,5,S,YU,6106
2019-09-03,07:45,Tuesday,SPADINA BD STATION,MUIR,0,0,E,BD,5087
2019-09-03,07:51,Tuesday,YORK UNIVERSITY STATIO,EUDO,3,7,N,YU,5621
2019-09-03,07:59,Tuesday,ST GEORGE BD STATION,MUIS,14,16,W,BD,5183
2019-09-03,08:00,Tuesday,ST GEORGE YUS STATION,MUO,0,0,N,YU,5956
2019-09-03,08:10,Tuesday,SUMMERHILL STATION,MUI,7,9,S,YU,5436
2019-09-03,08:14,Tuesday,OSSINGTON STATION,MUPAA,4,6,E,BD,5308
2019-09-03,08:18,Tuesday,OLD MILL STATION,SUAP,0,0,,BD,0
2019-09-03,08:23,Tuesday,ST PATRICK STATION,TUATC,4,6,N,YU,5416
2019-09-03,08:28,Tuesday,WELLESLEY STATION,SUDP,3,5,N,YU,5761
2019-09-03,08:39,Tuesday,CHRISTIE STATION,MUIRS,0,0,,BD,0
2019-09-03,08:39,Tuesday,SUMMERHILL STATION,MUIRS,0,0,S,YU,0
2019-09-03,09:05,Tuesday,KENNEDY BD STATION,MUSC,0,0,W,BD,5014
2019-09-03,09:09,Tuesday,ST GEORGE YUS STATION,MUNCA,0,0,,YU,0
2019-09-03,09:59,Tuesday,EGLINTON STATION,MUI,6,9,S,YU,6056
2019-09-03,10:04,Tuesday,ST PATRICK STATION,MUI,5,9,S,YU,5541
2019-09-03,10:24,Tuesday,OSSINGTON STATION,MUPAA,0,0,W,BD,5274
2019-09-03,10:24,Tuesday,VAUGHAN MC STATION,TUATC,4,7,S,YU,5851
2019-09-03,10:24,Tuesday,VAUGHAN MC STATION,TUCC,4,7,S,YU,6031
2019-09-03,11:00,Tuesday,GREENWOOD STATION,MUIS,0,0,,BD,0
2019-09-03,11:45,Tuesday,ST CLAIR WEST STATION,MUATC,0,0,S,YU,6046
2019-09-03,11:58,Tuesday,JANE STATION,PUMEL,0,0,,BD,0
2019-09-03,12:06,Tuesday,CASTLE FRANK STATION,PUMEL,0,0,,BD,0
2019-09-03,12:15,Tuesday,JANE STATION,TUSC,0,0,W,BD,5266
2019-09-03,12:47,Tuesday,COLLEGE STATION,SUDP,3,6,S,YU,6026
2019-09-03,13:00,Tuesday,ST CLAIR WEST STATION,MUPAA,0,0,S,YU,5596
2019-09-03,13:13,Tuesday,QUEEN STATION,MUPAA,3,6,N,YU,5966
2019-09-03,13:14,Tuesday,SHEPPARD WEST STATION,PUMEL,0,0,,YU,0
2019-09-03,13:36,Tuesday,CHRISTIE STATION,SUDP,5,8,W,BD,5277
2019-09-03,13:39,Tuesday,WILSON STATION,TUNIP,3,5,S,YU,6021
2019-09-03,13:40,Tuesday,SHEPPARD-YONGE STATION,TUMVS,0,0,E,SHP,6186
2019-09-03,15:09,Tuesday,KIPLING STATION,TUNIP,0,0,E,BD,5087
