Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2020-01-01,01:18,Wednesday,KENNEDY SRT STATION,SRDP,8,13,N,SRT,3025
2020-01-01,01:27,Wednesday,SHEPPARD WEST STATION,MUI,7,12,S,YU,5591
2020-01-01,02:22,Wednesday,MAIN STREET STATION,EUNT,3,7,W,BD,5371
2020-01-01,03:54,Wednesday,KIPLING STATION,MUIS,0,0,E,BD,5243
2020-01-01,08:07,Wednesday,KEELE STATION,MUNOA,4,9,W,BD,5011
2020-01-01,08:10,Wednesday,KEELE STATION,MUNOA,4,8,W,BD,5307
2020-01-01,08:14,Wednesday,KIPLING STATION,MUNOA,4,8,E,BD,5162
2020-01-01,09:50,Wednesday,QUEEN'S PARK STATION,MUATC,4,9,N,YU,5621
2020-01-01,09:51,Wednesday,DUPONT STATION,TUSC,3,6,S,YU,5491
2020-01-01,10:27,Wednesday,QUEEN'S PARK STATION,MUATC,7,12,N,YU,5621
2020-01-01,10:37,Wednesday,DUNDAS WEST STATION,TUMVS,0,0,W,BD,5194
2020-01-01,12:55,Wednesday,FINCH STATION,MUTO,3,7,S,YU,5531
2020-01-01,14:12,Wednesday,SHEPPARD STATION,SUAP,0,0,N,YU,6101
2020-01-01,14:25,Wednesday,DUNDAS WEST STATION,MUIS,0,0,,BD,0
2020-01-01,15:51,Wednesday,WARDEN STATION,SUO,7,11,E,BD,5139
2020-01-01,16:56,Wednesday,ISLINGTON STATION,SUO,4,8,W,BD,5344
2020-01-01,17:26,Wednesday,QUEEN'S PARK STATION,MUIR,9,14,N,YU,6106
2020-01-01,17:44,Wednesday,KIPLING STATION,EUDO,4,8,E,BD,5091
2020-01-01,19:28,Wednesday,YONGE SHEP STATION,TUSC,0,0,E,SHP,6191
2020-01-01,19:46,Wednesday,DUNDAS STATION,MUIRS,0,0,,YU,0
2020-01-01,20:12,Wednesday,VICTORIA PARK STATION,PUMEL,0,0,,BD,0
2020-01-01,22:00,Wednesday,YONGE-UNIVERSITY & BLO,MUO,0,0,,YU/BD,0
2020-01-01,22:51,Wednesday,BLOOR STATION,SUDP,3,8,S,YU,6121
2020-01-01,23:34,Wednesday,ROYAL YORK STATION,EUBK,5,10,E,BD,5131
2020-01-02,00:23,Thursday,LAWRENCE STATION,SUEAS,11,16,N,YU,5491
2020-01-02,00:24,Thursday,KENNEDY BD TO KIPLING,TUS,4,8,W,BD,5173
2020-01-02,00:37,Thursday,WARDEN STATION,MUIS,0,0,,BD,0
2020-01-02,01:16,Thursday,YONGE BD STATION,SUAE,0,0,,BD,0
2020-01-02,01:56,Thursday,BAY STATION,MUIR,0,0,W,BD,5161
2020-01-02,02:18,Thursday,SCARBOROUGH CTR STATIO,SRDP,0,0,,SRT,0
2020-01-02,05:20,Thursday,FINCH STATION,MUPLC,0,0,,YU,1337
2020-01-02,05:53,Thursday,FINCH STATION,SUAP,4,8,S,YU,5761
2020-01-02,06:09,Thursday,VAUGHAN MC STATION,MUATC,0,0,S,YU,6026
2020-01-02,06:35,Thursday,DON MILLS STATION,MUSC,0,0,N,YU,5471
2020-01-02,07:41,Thursday,WOODBINE STATION,EUSC,0,0,W,BD,5239
2020-01-02,07:45,Thursday,MUSEUM STATION,MUI,9,11,N,YU,5656
