Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2020-10-01,00:00,Thursday,MCCOWAN STATION,ERTC,6,12,S,SRT,3026
2020-10-01,00:08,Thursday,LANSDOWNE STATION,EUNT,5,11,W,BD,5021
2020-10-01,07:44,Thursday,BAY STATION,SUDP,0,0,E,BD,5167
2020-10-01,09:01,Thursday,KENNEDY BD STATION,MUTO,3,6,W,BD,5167
2020-10-01,09:08,Thursday,LESLIE STATION,TUSC,0,0,W,SHP,6181
2020-10-01,09:16,Thursday,BLOOR STATION,SUDP,3,6,S,YU,5846
2020-10-01,09:48,Thursday,BLOOR STATION,MUIS,0,0,S,YU,0
2020-10-01,10:16,Thursday,KEELE STATION,MUIS,0,0,,BD,0
2020-10-01,11:18,Thursday,EGLINTON STATION,SUDP,3,6,N,YU,6016
2020-10-01,12:21,Thursday,MCCOWAN STATION,MRTO,7,14,N,SRT,3025
2020-10-01,13:53,Thursday,ISLINGTON STATION,MUIRS,0,0,,BD,0
2020-10-01,14:07,Thursday,MCCOWAN STATION,ERNEA,6,13,N,SRT,3019
2020-10-01,14:33,Thursday,COXWELL STATION,TUNIP,9,12,E,BD,5141
2020-10-01,15:05,Thursday,MCCOWAN STATION,ERNEA,5,10,S,SRT,0
2020-10-01,15:37,Thursday,OLD MILL STATION,MUIR,0,0,E,BD,5159
2020-10-01,15:51,Thursday,BATHURST STATION,PUMEL,0,0,,BD,0
2020-10-01,15:53,Thursday,DUNDAS STATION,MUPAA,0,0,S,YU,5916
2020-10-01,16:07,Thursday,OLD MILL STATION,TUMVS,3,6,W,BD,5283
2020-10-01,16:49,Thursday,DAVISVILLE STATION,MUIS,0,0,N,YU,0
2020-10-01,17:01,Thursday,QUEEN STATION,MUPR1,66,69,N,YU,6046
2020-10-01,17:22,Thursday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0
2020-10-01,18:38,Thursday,DONLANDS STATION,SUDP,3,6,E,BD,5005
2020-10-01,18:55,Thursday,LANSDOWNE STATION,MUSAN,3,6,E,BD,5238
2020-10-01,19:22,Thursday,FINCH STATION,EUSC,0,0,S,YU,5731
2020-10-01,19:25,Thursday,KENNEDY BD STATION,PUSSW,6,12,W,BD,5257
2020-10-01,19:26,Thursday,BROADVIEW STATION,MUIR,3,6,E,BD,5141
2020-10-01,19:54,Thursday,BLOOR STATION,SUDP,3,6,N,YU,5531
2020-10-01,19:56,Thursday,LAWRENCE STATION,SUDP,6,9,N,YU,5456
2020-10-01,20:23,Thursday,WARDEN STATION,MUPAA,3,6,N,YU,6136
2020-10-01,20:29,Thursday,KENNEDY BD STATION,EUYRD,3,6,W,BD,5227
2020-10-01,21:18,Thursday,WARDEN STATION,TUSC,0,0,N,YU,6126
2020-10-01,22:00,Thursday,WARDEN STATION,MUO,0,0,,YU/BD,0
2020-10-01,22:22,Thursday,LANSDOWNE STATION,MUIS,0,0,,BD,0
2020-10-01,23:00,Thursday,WARDEN STATION,MUO,0,0,,YU,0
2020-10-01,23:47,Thursday,WARDEN STATION,MUIS,0,0,N,YU,0
2020-10-02,00:08,Friday,LESLIE STATION,MUPAA,5,10,E,SHP,6186
