Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2019-07-01,107,00:04:00,Monday,Sheppard at Vitti St.,Diversion,30.0,60.0,B/W,
2019-07-01,106,00:04:00,Monday,Sheppard and Bakerfield Road,Diversion,1.0,1.0,E/B,8168.0
2019-07-01,84,00:04:00,Monday,Sheppard at Vitti St.,Diversion,10.0,20.0,B/W,
2019-07-01,108,00:04:00,Monday,Sheppard at Vitti St.,Diversion,30.0,60.0,B/W,
2019-07-01,75,00:21:00,Monday,Rosedale Station,Mechanical,10.0,30.0,E/B,1365.0
2019-07-01,54,00:23:00,Monday,Kennedy and Lawrence,Mechanical,20.0,40.0,W/B,8856.0
2019-07-01,63,00:36:00,Monday,Ossington and College,Utilized Off Route,10.0,20.0,S/B,8316.0
2019-07-01,63,00:43:00,Monday,Liberty Village,Utilized Off Route,10.0,20.0,N/B,1399.0
2019-07-01,106,00:50:00,Monday,Pioneer Village Station,Mechanical,16.0,32.0,S/B,8200.0
2019-07-01,307,01:30:00,Monday,Bathurst St.,General Delay,20.0,50.0,B/W,
2019-07-01,302,01:36:00,Monday,Victora Park and Finch to Bingham Loop,Mechanical,12.0,24.0,NB,8577.0
2019-07-01,116,02:22:00,Monday,Morningside and Neilson,Emergency Services,10.0,20.0,SB,8825.0
2019-07-01,300,03:09:00,Monday,Kennedy Station,Mechanical,60.0,120.0,WB,8016.0
2019-07-01,334,03:48:00,Monday,Eglinton and Kennedy,Investigation,30.0,60.0,EB,8757.0
2019-07-01,320,04:28:00,Monday,Yonge and Bloor,Utilized Off Route,15.0,30.0,N/B,8192.0
2019-07-01,383,05:05:00,Monday,lake shore garage,Emergency Services,1.0,1.0,B/W,
2019-07-01,60,05:46:00,Monday,Yonge and Steeles,Mechanical,12.0,12.0,W/B,3348.0
2019-07-01,133,06:00:00,Monday,133 Neilson Route,General Delay,13.0,26.0,B/W,3456.0
2019-07-01,14,06:00:00,Monday,Eglinton and Chaplin,Diversion,999.0,999.0,B/W,
2019-07-01,14,06:00:00,Monday,Eglinton and Russell Hill Rd,Diversion,275.0,295.0,E/B,
2019-07-01,24,06:20:00,Monday,Lawrance  and  Victoria pk,Mechanical,20.0,40.0,B/W,3118.0
2019-07-01,123,06:20:00,Monday,kipling station,Mechanical,10.0,20.0,S/B,8052.0
2019-07-01,300,06:20:00,Monday,Kipling Station,Mechanical,10.0,20.0,E/B,8052.0
2019-07-01,100,06:30:00,Monday,Broadview Station,Vision,10.0,20.0,N/B,8820.0
