Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2020-05-01,329,01:31:00,Friday,STEELES AND DUFFERIN,Mechanical,30.0,60.0,S/B,1354.0
2020-05-01,300,03:20:00,Friday,The West Mall and Bloor Street,Emergency Services,3.0,6.0,N/B,82.0
2020-05-01,35,04:04:00,Friday,PVST,Late Leaving Garage - Operator,1.0,16.0,S/B,3363.0
2020-05-01,600,05:00:00,Friday,Eglinton Yard,Utilized Off Route,1.0,1.0,,8793.0
2020-05-01,600,05:00:00,Friday,Eglinton Yard,Utilized Off Route,1.0,1.0,,8927.0
2020-05-01,63,05:31:00,Friday,King/Atlantic,Utilized Off Route,13.0,26.0,N/B,8392.0
2020-05-01,50,05:46:00,Friday,Mill loop,Late Leaving Garage - Mechanical,1.0,18.0,S/B,7967.0
2020-05-01,129,06:00:00,Friday,STC,Late Leaving Garage - Mechanical,6.0,12.0,E/B,3589.0
2020-05-01,116,06:05:00,Friday,Kennedy,Late Leaving Garage - Management,17.0,34.0,E/B,8758.0
2020-05-01,12,06:09:00,Friday,Brimley/ St Clair,Investigation,13.0,13.0,S/B,8580.0
2020-05-01,939,06:21:00,Friday,Finch and V.P,Investigation,5.0,10.0,W/B,9096.0
2020-05-01,939,06:21:00,Friday,Finch and V.P,Investigation,2.0,7.0,W/B,9071.0
2020-05-01,7,06:24:00,Friday,Greenwin Village and Steeles,Mechanical,7.0,14.0,S/B,1214.0
2020-05-01,73,06:50:00,Friday,eglington,Mechanical,5.0,10.0,N/B,7930.0
2020-05-01,24,06:50:00,Friday,Finch/ victoria park,Investigation,9.0,19.0,S/B,3152.0
2020-05-01,165,07:05:00,Friday,York Mills Stn,Mechanical,10.0,20.0,W/B,3292.0
2020-05-01,168,07:14:00,Friday,Dundas west station,Investigation,5.0,10.0,N/B,1025.0
2020-05-01,29,07:25:00,Friday,Dufferin Gate Bridge,Diversion,21.0,29.0,S/B,
2020-05-01,36,07:30:00,Friday,Finch west stn,Mechanical,4.0,9.0,W/B,9118.0
2020-05-01,115,08:36:00,Friday,York Mills Station,Mechanical,24.0,48.0,E/B,8206.0
2020-05-01,75,08:40:00,Friday,SHERBOURNE - Elm and South Drive,Diversion,56.0,62.0,N/B,
2020-05-01,82,08:40:00,Friday,ROSEDALE - South Drive and Elm,Diversion,967.0,987.0,B/W,1277.0
2020-05-01,122,08:55:00,Friday,York Mills Stn,Utilized Off Route,10.0,20.0,E/B,1228.0
2020-05-01,985,09:09:00,Friday,Lamont and Sheppard,Mechanical,1.0,1.0,E/B,3482.0
2020-05-01,902,09:16:00,Friday,Markham Rd/Cougar Crt,Investigation,15.0,30.0,N/B,8477.0
2020-05-01,41,09:16:00,Friday,Keele Stn,Utilized Off Route,1.0,1.0,N/B,9055.0
2020-05-01,16,09:31:00,Friday,Warden STN,Utilized Off Route,1.0,1.0,N/B,9238.0
2020-05-01,133,09:37:00,Friday,Morningside and finch,Utilized Off Route,11.0,22.0,E/B,3438.0
2020-05-01,111,09:39:00,Friday,Kipling station,Mechanical,16.0,32.0,N/B,8094.0
2020-05-01,16,09:44:00,Friday,Warden STN,Utilized Off Route,1.0,1.0,N/B,8468.0
2020-05-01,41,09:48:00,Friday,Keele/Eglinton,Mechanical,12.0,24.0,N/B,9048.0
2020-05-01,133,09:59:00,Friday,Morningside and finch,Utilized Off Route,11.0,22.0,E/B,3558.0
2020-05-01,75,10:00:00,Friday,SHERBOURNE,Utilized Off Route,5.0,10.0,S/B,1277.0
2020-05-01,47,10:01:00,Friday,Jane at Foxwell,Mechanical,1.0,1.0,N/B,1135.0
2020-05-01,102,10:05:00,Friday,Warden STN,Utilized Off Route,1.0,1.0,N/B,9207.0
2020-05-01,17,10:13:00,Friday,Warden STN,Utilized Off Route,1.0,1.0,N/B,9222.0
2020-05-01,95,10:14:00,Friday,York Mills Stn,Utilized Off Route,10.0,20.0,E/B,3424.0
2020-05-01,985,10:15:00,Friday,Malvern Gate,Utilized Off Route,1.0,1.0,W/B,3474.0
2020-05-01,84,10:18:00,Friday,Bradstock and Weston,Utilized Off Route,8.0,16.0,E/B,3299.0
2020-05-01,939,10:19:00,Friday,STC,Mechanical,4.0,8.0,W/B,9085.0
2020-05-01,133,10:24:00,Friday,STC,Utilized Off Route,11.0,22.0,E/B,3481.0
2020-05-01,70,10:25:00,Friday,Pharmancy and eglinton,Utilized Off Route,15.0,30.0,,8942.0
2020-05-01,52,10:29:00,Friday,Lawrence West Station,Utilized Off Route,27.0,49.0,W/B,8151.0
2020-05-01,985,10:30:00,Friday,Malvern Gate,Utilized Off Route,1.0,1.0,E/B,3520.0
2020-05-01,54,10:34:00,Friday,Orton Park and Lawrence,Utilized Off Route,14.0,28.0,W/B,8782.0
2020-05-01,38,10:37:00,Friday,Scarborough Centre STN,Utilized Off Route,12.0,25.0,E/B,3428.0
2020-05-01,84,10:39:00,Friday,Weston and Bradstock,Utilized Off Route,8.0,16.0,E/B,3310.0
2020-05-01,23,10:42:00,Friday,Main stn,Investigation,11.0,22.0,N/B,8576.0
2020-05-01,133,10:50:00,Friday,STC,Utilized Off Route,11.0,22.0,E/B,3435.0
2020-05-01,85,10:52:00,Friday,Sheppard / Yonge,Utilized Off Route,10.0,20.0,E/B,3562.0
2020-05-01,939,10:52:00,Friday,FSTN,Mechanical,4.0,8.0,E/B,1298.0
2020-05-01,97,10:57:00,Friday,Davisville Station,Utilized Off Route,15.0,30.0,S/B,1213.0
2020-05-01,89,11:00:00,Friday,Keele station,Mechanical,10.0,20.0,N/B,9149.0
2020-05-01,939,11:19:00,Friday,FIMC,Mechanical,4.0,8.0,E/B,3529.0
2020-05-01,133,11:20:00,Friday,STC,Utilized Off Route,11.0,22.0,E/B,3549.0
2020-05-01,54,11:28:00,Friday,Eglinton Station,Mechanical,12.0,25.0,E/B,8941.0
2020-05-01,85,11:28:00,Friday,Don Mills Station,Utilized Off Route,7.0,15.0,E/B,3446.0
2020-05-01,24,11:30:00,Friday,Victoria park stn,Mechanical,10.0,21.0,N/B,3120.0
2020-05-01,87,11:32:00,Friday,"On Lumsden, at Barrington",Investigation,10.0,20.0,W/B,3147.0
