Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2020-07-05,34,01:21:00,Sunday,Eglinton station,Mechanical,11.0,22.0,E/B,8736.0
2020-07-05,900,01:35:00,Sunday,Kipling Station,Mechanical,10.0,20.0,N/B,8009.0
2020-07-05,320,02:15:00,Sunday,Steeles loop at Yonge,Utilized Off Route,4.0,7.0,S/B,9025.0
2020-07-05,320,02:28:00,Sunday,Yonge & Queens Quay,Utilized Off Route,3.0,7.0,N/B,1262.0
2020-07-05,300,02:40:00,Sunday,Kennedy station,Vision,30.0,60.0,W/B,8459.0
2020-07-05,320,03:18:00,Sunday,Steeles loop,Vision,8.0,23.0,S/B,1262.0
2020-07-05,123,06:04:00,Sunday,Longbranch loop,Late Leaving Garage - Mechanical,10.0,20.0,N/B,7920.0
2020-07-05,320,06:16:00,Sunday,steeles   Loop,Late Leaving Garage - Operator,10.0,20.0,,1212.0
2020-07-05,168,07:00:00,Sunday,OLD WESTON AND ST CLAIR,Investigation,20.0,40.0,N/B,3729.0
2020-07-05,100,07:28:00,Sunday,Don mills  and Windfrod,Late Leaving Garage - Mechanical,10.0,20.0,,8821.0
2020-07-05,44,07:35:00,Sunday,CSSL,Late Leaving Garage - Mechanical,17.0,,N/B,7913.0
2020-07-05,110,07:45:00,Sunday,Longbranch,Late Leaving Garage - Vision,20.0,40.0,N/B,8416.0
2020-07-05,52,07:54:00,Sunday,Lawrence and Unsworth,Mechanical,20.0,40.0,W/B,8178.0
2020-07-05,110,08:12:00,Sunday,Islington Station,Mechanical,12.0,24.0,N/B,8431.0
2020-07-05,89,09:16:00,Sunday,Albion/Westen Rd.,Mechanical,10.0,20.0,N/B,1031.0
2020-07-05,46,09:44:00,Sunday,Kipling stn,Mechanical,16.0,32.0,N/B,3205.0
2020-07-05,54,09:46:00,Sunday,Pharmacy and Lawrence,Investigation,22.0,36.0,E/B,8874.0
2020-07-05,134,09:46:00,Sunday,Finchdeen Square/Finch,Mechanical,22.0,44.0,S/B,9005.0
2020-07-05,25,10:33:00,Sunday,Don Mills and Van Horne,Investigation,10.0,20.0,N/B,8674.0
2020-07-05,25,10:55:00,Sunday,Pape Station,Mechanical,10.0,20.0,N/B,8851.0
2020-07-05,84,11:07:00,Sunday,Weston Road and Bradstock,Mechanical,10.0,19.0,E/B,3301.0
2020-07-05,29,11:07:00,Sunday,Springhurst Loop,Mechanical,9.0,17.0,N/B,9017.0
2020-07-05,36,11:50:00,Sunday,Finch / Weston,Investigation,5.0,11.0,W/B,3245.0
2020-07-05,52,12:21:00,Sunday,Martin Grove and Dixon,Mechanical,20.0,37.0,E/B,8158.0
2020-07-05,39,12:24:00,Sunday,Baldoon,Mechanical,8.0,16.0,W/B,9091.0
2020-07-05,95,12:32:00,Sunday,Ellesmere and Kennedy,Mechanical,11.0,21.0,E/B,1654.0
2020-07-05,34,12:45:00,Sunday,eglinton station,Utilized Off Route,9.0,18.0,W/B,8709.0
2020-07-05,51,13:00:00,Sunday,eglinton station,Utilized Off Route,24.0,48.0,W/B,8335.0
2020-07-05,52,13:09:00,Sunday,Lawrence Station,Mechanical,14.0,28.0,W/B,8171.0
2020-07-05,24,13:50:00,Sunday,Victoria Park Station,Mechanical,7.0,14.0,N/B,8405.0
2020-07-05,81,14:20:00,Sunday,THORNCLIFFE PARK - Pape Station,Mechanical,10.0,20.0,N/B,3129.0
2020-07-05,63,14:30:00,Sunday,oakwood loop,Mechanical,7.0,14.0,S/B,8357.0
2020-07-05,35,14:36:00,Sunday,Jane / Lawrence,Investigation,10.0,20.0,S/B,3618.0
